Comune;Istat_comune;Anno;Dato relativo a:;Popolazione;Altro RD(t);Ingombranti Misti(t);Carta e Cartone(t);Frazione Organica(t);Legno(t);Metallo(t);Plastica(t);RAEE(t);Selettiva(t);Tessili(t);Vetro(t)
Sant\'Angelo Muxaro;19084039;2013;Comune;1.405;0;2,52;9,498999999999999;1,06;0;0,212;2,136;3;0,024;0;6,567;
Santo Stefano Quisquina;19084040;2010;Comune;4.965;0,8;0;52,32;128,32;3,56;28,64;22,64;9,34;0;3,57;134,02;
Santo Stefano Quisquina;19084040;2011;Comune;4.897;1,629;0;106,5344;261,2862;7,2489;58,31700000000001;46,0998;19,0182;0;7,2693;272,8926;
Santo Stefano Quisquina;19084040;2012;SO.GE.I.R. AG1 SPA IN LIQUIDAZIONE;122.791;57,04;0;2866,452;10488,71;687,012;323,605;795,956;536,131;23,015;245,36;1001,929;
Santo Stefano Quisquina;19084040;2013;Comune;4.806;1,94;0;126,85;497,93;16,9;0;9,18;0;0;3,8;0;
Sciacca;19084041;2010;Comune;41.066;34,12;20,78;85,92;1325,6100000000001;312,70000000000005;324,33000000000004;344,17;0;1,18;82,03999999999999;1693,44;
Sciacca;19084041;2011;Comune;40.899;37,6182;22,9105;94,72919999999999;1461,5216;344,7604;357,5828;379,4569;0;1,3010000000000002;90,4514;1867,0644;
Sciacca;19084041;2012;SO.GE.I.R. AG1 SPA IN LIQUIDAZIONE;122.791;57,04;0;2866,452;10488,71;687,012;323,605;795,956;536,131;23,015;245,36;1001,929;
Sciacca;19084041;2013;Comune;41.132;23,8;13,56;229,23000000000002;1302,18;1679,5;823,64;304,65;461,98;5,87;107,41;96,51;
Siculiana;19084042;2010;Comune;4.587;7,52;52,96;83,68;0;2,27;1,64;48,71;24,67;0,048;0;77,3;
Siculiana;19084042;2011;Comune;4.632;0;0;80,0529;105,8602;2,5377;7,501;42,204499999999996;11,081900000000001;0;0;105,622;
Siculiana;19084042;2012;GE.S.A. AG 2 SPA IN LIQUIDAZIONE;194.374;70,4;1828,79;3058,8532000000005;0;15,1668;161,0089;1827,0862;270,07000000000005;4,892;0;1199,2251;
Siculiana;19084042;2013;Comune;4.622;1,84;7,96;33;155,82023;2,537665508;2;57,82;3,608606916;0;0;23;
Villafranca Sicula;19084043;2010;Comune;1.436;3,5;0;33,65;207,14;12,02;11,66;7,390000000000001;0;0,3;3,38;27,74;
Villafranca Sicula;19084043;2011;Comune;1.426;3,7776;0;36,3188;223,5685;12,9733;12,5847;7,976100000000001;0;0,3238;3,6481;29,9401;
Villafranca Sicula;19084043;2012;SO.GE.I.R. AG1 SPA IN LIQUIDAZIONE;122.791;57,04;0;2866,452;10488,71;687,012;323,605;795,956;536,131;23,015;245,36;1001,929;
Villafranca Sicula;19084043;2013;Comune;1.417;1,94;0;99,27000000000001;64,48;35,47;13,52;11,9;1,08;0,15000000000000002;4,417;0;
Acqui Terme;01006001;2010;Comune;20.552;22,28;124,728;1660,4894;1185,54;1386,7131;1,38;52,3155;151,78;1,82;82,86;651,8;
Acqui Terme;01006001;2011;Comune;20.054;20,64;97,86;1623,5217;1858,44;452,9662;53,55;33,611;134,434;2,4400000000000004;84,733;771,098;
Acqui Terme;01006001;2012;CONSORZIO SERVIZI RIFIUTI DEL NOVESE;TORTONESE;ACQUESE ED OVADESE';3267,33;10439,967;19411,949999999997;1027,5062;608,3956000000001;4428,1061;496,61;67,59199999999998;247,051;7543,4768;
Acqui Terme;01006001;2013;CONSORZIO SERVIZI RIFIUTI DEL NOVESE;TORTONESE;ACQUESE ED OVADESE';3222,86;10757,26;19062,23;1347,31;788,9680000000001;4456,94;575,765;92,07199999999999;247,198;7051,6449999999995;
Albera Ligure;01006002;2010;Comune;323;0;9,7356;16,6911;0;9,9307;3,691;0,5276;0;0;0;12,588;
Albera Ligure;01006002;2011;Comune;329;0;8,3826;16,2522;0;8,665099999999999;2,203;0,5595;0;0;0;16,727;
Albera Ligure;01006002;2012;CONSORZIO SERVIZI RIFIUTI DEL NOVESE;TORTONESE;ACQUESE ED OVADESE';3267,33;10439,967;19411,949999999997;1027,5062;608,3956000000001;4428,1061;496,61;67,59199999999998;247,051;7543,4768;
Albera Ligure;01006002;2013;CONSORZIO SERVIZI RIFIUTI DEL NOVESE;TORTONESE;ACQUESE ED OVADESE';3222,86;10757,26;19062,23;1347,31;788,9680000000001;4456,94;575,765;92,07199999999999;247,198;7051,6449999999995;
Alessandria;01006003;2010;Comune;94.974;546,89;412,08;7512,57;9165,86;1197,01;202,72299999999998;3094,5886;700,455;51,67;197,693;3320,36;
Alessandria;01006003;2011;Comune;89.411;391,34;692,565;6554,083;8893,07;1098,12;481,2033;2883,7128;618,178;67,90299999999999;221,62;3248,46;
Alessandria;01006003;2012;CONSORZIO DI BACINO ALESSANDRINO;292.590;447,59;2936,52;8691,3257;14808,24;1666,0153;492,2413;3776,3026;685,367;128,017;324,418;5508,6083;
