Comune;Istat_comune;Anno;Dato relativo a:;Popolazione;Altro RD(t);Ingombranti Misti(t);Carta e Cartone(t);Frazione Organica(t);Legno(t);Metallo(t);Plastica(t);RAEE(t);Selettiva(t);Tessili(t);Vetro(t)
Borriana;01096006;2011;Comune;880;0,663;11,6262;51,28;46,23;4,13;0,873;22,73;3,413;0,166;0;30,96;
Borriana;01096006;2012;Comune;882;0,16;14,14;46,18;41,7;1,98;0,5;18,83;1,13;0,113;2,778;36,81;
Borriana;01096006;2013;Comune;897;0,415;16,439;42,11;42,45;4,023;0,595;20,21;1,8539999999999999;0,34500000000000003;3,322;39,89;
Brusnengo;01096007;2010;Comune;2.206;0,05;14,3634;198,76;144,26600000000002;33,131;0;45,785;5,407;0,7030000000000001;4,367;85,58;
Brusnengo;01096007;2011;Comune;2.168;4,98;19,416;139,5;150,91;51,9;20,95;49,55;6,7;0,48600000000000004;5,182;87,98;
Brusnengo;01096007;2012;Comune;2.162;0,12;32,585;107,41999999999999;147,86;7,535;6,5;42,86;3,61;0,605;5,525;80,29;
Brusnengo;01096007;2013;Comune;2.122;0,08;42,49;97,32;135,98000000000002;3,87;2,32;44,77;2,977;0,442;5,87;79,25;
Callabiana;01096008;2010;Comune;154;0;0,8814;10,449;0,78;0,677;1,713;1,713;0,116;0,024;0;12,118;
Callabiana;01096008;2011;Comune;149;0;0,396;13,217;0;0,465;0;2,841;0,394;0,026;0;12,212;
Callabiana;01096008;2012;CONSORZIO SMALTIMENTO RIFIUTI AREA BIELLESE;36.076;20,169;208,81;922,239;678,1899999999999;215,344;68,958;290,72;80,72999999999999;13,215;45,47;766,575;
Callabiana;01096008;2013;CONSORZIO SMALTIMENTO RIFIUTI AREA BIELLESE;35.316;19,085;309,059;858,489;703,6110000000001;176,632;60,245;284,941;86,458;18,973;51,058;707,133;
Camandona;01096009;2010;Comune;366;0,612;2,1552;10,932;12,961;2,494;0;3,148;0,585;0,058;0;18,985;
Camandona;01096009;2011;Comune;359;0,512;1,0164;12,716;5,316000000000001;3,855;0,476;4,64;1,23;0,062;0;15,88;
Camandona;01096009;2012;CONSORZIO SMALTIMENTO RIFIUTI AREA BIELLESE;36.076;20,169;208,81;922,239;678,1899999999999;215,344;68,958;290,72;80,72999999999999;13,215;45,47;766,575;
Camandona;01096009;2013;CONSORZIO SMALTIMENTO RIFIUTI AREA BIELLESE;35.316;19,085;309,059;858,489;703,6110000000001;176,632;60,245;284,941;86,458;18,973;51,058;707,133;
Camburzano;01096010;2010;Comune;1.237;0,502;15,0396;108,855;79,053;5,435;1,218;20,34;5,78;0,178;5,832;29,016;
Camburzano;01096010;2011;Comune;1.227;0,16;13,536;82,24;70,79;3,8;0,04;30,64;5,08;0,268;6,673;45,11;
Camburzano;01096010;2012;Comune;1.220;0,23;21,01;51,44;65,92;2,55;0,76;16,21;2,017;0,13;5,335;53,7;
Camburzano;01096010;2013;Comune;1.184;0,24;20,67;56,97;61,98;2,58;0,11;19,44;2,512;0,175;6,743;47,63;
Campiglia Cervo;01096011;2010;Comune;165;0;2,868;7,83;0,26;0,22;1,22;2,84;0,275;0,015;0;15,79;
Campiglia Cervo;01096011;2011;Comune;172;0;1,968;7,19;0,62;0,12;0;3,03;1,89;0,029;0;9,83;
Campiglia Cervo;01096011;2012;Comune;169;0;4,24;8,2;0;0,34;1,26;3,61;0,09;0;0;11,78;
Campiglia Cervo;01096011;2013;Comune;156;0;6,52;6,69;0;0,72;0;3,44;0,647;0,024999999999999998;0;10,5;
Candelo;01096012;2010;Comune;8.058;1,84;120,606;527,841;479,072;54,885;4,431;120,2;29;2,468;16,98;262,07;
Candelo;01096012;2011;Comune;7.952;0,99;139,362;480,799;401,85;76,99;23,22;121,828;33,496;1,972;20,015;262,82;
Candelo;01096012;2012;Comune;7.923;1,3;144,14;335,51;376,38;36,02;4,77;122,59;19,385;1,9100000000000001;17,252;247,91;
Candelo;01096012;2013;Comune;7.862;0,99;170,657;324,75;394,96;56,78;5,07;126,9;13,926;2,5580000000000003;21,174;255,35999999999999;
Caprile;01096013;2010;Comune;223;0;2,1048;5,54;0;3,129;1,52;2,8;1,446;0;0,374;9,9;
Caprile;01096013;2011;Comune;206;0,06;3,063;7,815;1,031;0,769;0;2,94;0,355;0,002;0,127;11,75;
Caprile;01096013;2012;Comune;207;0;5,915;6,4;1,447;0,765;2,105;2,53;0,6799999999999999;0,158;0,216;8,44;
Caprile;01096013;2013;Comune;213;0;10,625;5,29;1,909;1,658;0,05;2,48;0,39;0,262;0,396;8,75;
Casapinta;01096014;2010;Comune;464;0;3,7392;15,577;0;0,781;0,17;6,37;2,122;0,005;0,601;14,33;
Casapinta;01096014;2011;Comune;454;1,02;8,1426;19,323;0,44;1,659;0,916;6,71;3,395;0,04;1,853;21,763;
Casapinta;01096014;2012;CONSORZIO SMALTIMENTO RIFIUTI AREA BIELLESE;36.076;20,169;208,81;922,239;678,1899999999999;215,344;68,958;290,72;80,72999999999999;13,215;45,47;766,575;
Casapinta;01096014;2013;CONSORZIO SMALTIMENTO RIFIUTI AREA BIELLESE;35.316;19,085;309,059;858,489;703,6110000000001;176,632;60,245;284,941;86,458;18,973;51,058;707,133;
Castelletto Cervo;01096015;2010;Comune;905;0,213;7,4064;529,575;2,511;144,6;1,32;20,01;1,969;0,094;0;33,94;
Castelletto Cervo;01096015;2011;Comune;880;0,26;6,936;537,65;17,57;133,82;0,4;18,58;1,94;0;0;29,68;
Castelletto Cervo;01096015;2012;Comune;875;0,36;10,06;380,02;1,46;4,28;0,39;23,97;1,1300000000000001;0,03;0;41,95;
Castelletto Cervo;01096015;2013;Comune;854;0;14,94;313,63;1,33;3,4;0,9;22,74;0,46;0,09;0;37,5;
Cavaglià;01096016;2010;Comune;3.623;0,126;0,897;1131,412;265,862;176,17;20,825;59,41;7,234;0,749;13,015;162,43;
Cavaglià;01096016;2011;Comune;3.625;0;2,0916;434,76;216,32;147,315;2,46;67,71;14,7;0,77;14,006;148,63;
Cavaglià;01096016;2012;Comune;3.625;4,1;1,489;154,4502;184,72;39,6754;3,8486;141,8815;8,459999999999999;0,373;0;148,6704;
Cavaglià;01096016;2013;Comune;3.626;10,88;2,369;146,41;129,57;64,575;7,989;146,08;10,16;1,616;0;141,69;
Cerreto Castello;01096017;2010;Comune;640;0,08;11,49;51,252;83,876;15,11;0,161;15,23;1,293;0,016;7,892;52,44;
Cerreto Castello;01096017;2011;Comune;628;0,08;14,154;70,29;86,99;19,62;1,24;20,226;1,435;0,074;7,749;45,97;
Cerreto Castello;01096017;2012;Comune;628;0;11,9;35,76;78,92;0,64;0,04;13,47;0,6900000000000001;0;6,688;56,11;
Cerreto Castello;01096017;2013;Comune;633;0,03;11,95;31,049999999999997;81,45;1,77;0,21;13,37;0,99;0,149;9,011;50,34;
Cerrione;01096018;2010;Comune;2.926;3,469;34,2744;274,747;127,217;58,086;84,53;102,939;15,701;1,648;2,821;110,184;
Cerrione;01096018;2011;Comune;2.894;5,551;37,2264;222,692;155,493;50,501;21,491;87,733;22,33;0,6040000000000001;8,316;108,563;
Cerrione;01096018;2012;Comune;2.909;4,747;62,607;130,551;158,584;43,342;12,178;52,47;16,814;0,51;8,103;108,76;
Cerrione;01096018;2013;Comune;2.933;3,729;54,595;124,523;154,296;38,68;9,432;54,34;16,259999999999998;0,5209999999999999;6,69;105,14;
Coggiola;01096019;2010;Comune;2.025;1,115;28,0746;90,44;13,937;15,786;6,897;31,945;11,601;0,733;0;70,575;
Coggiola;01096019;2011;Comune;1.996;1,643;37,5558;82,875;18,675;15,635;7,32;28,085;11,972;0,39199999999999996;0;67,215;
Coggiola;01096019;2012;Comune;1.998;1,543;54,833;81,135;11,675;20,128;7,085;28,11;9,606;0,632;0;63,755;
Coggiola;01096019;2013;Comune;1.930;0,932;36,808;71,67999999999999;13,635;25,588;3,51;27,42;5,471;0,747;0;62,574999999999996;
Cossato;01096020;2010;Comune;15.010;52,07;212,31;1160,075;1423,893;213,657;224,465;321,86;58,646;3,688;61,497;464,13;
Cossato;01096020;2011;Comune;14.810;42,396;236,7606;1099,952;1415,1100000000001;210,64;57,99;359,493;80,406;3,707;64,005;476,11;
Cossato;01096020;2012;Comune;14.794;14,828;393,366;899,53;1191,75;112,48;18,45;301,3;52,525;4,936999999999999;57,859;489,625;
Cossato;01096020;2013;Comune;14.815;2,41;405,285;899,52;1372,8;74,116;16,14;368,44;34,789;5,681000000000001;65,668;529,067;
Crevacuore;01096021;2010;Comune;1.638;1,215;33,5778;92,994;6,98;26,662;7,09;32,705;7,362;0,66;5,506;72,211;
Crevacuore;01096021;2011;Comune;1.610;2,385;39,108;85,245;9,036;20,326;2,665;28,745;8,65;0,465;6,272;64,51;
Crevacuore;01096021;2012;Comune;1.603;0,895;55,77;78,84;9,477;22,179;3,545;28,84;6,968999999999999;0,46499999999999997;5,425;68,63;
Crevacuore;01096021;2013;Comune;1.595;0,575;66,974;83,065;8,969;25,205;3,415;28,89;4,492;0,32999999999999996;6,043;62,875;
Crosa;01096022;2010;Comune;352;0,236;2,2458;11,25;0;1,772;0,614;7,42;1,354;0,07;0;12,41;
Crosa;01096022;2011;Comune;344;0,158;5,2272;10,043;0,03;2,886;1,232;7,6;0,73;0;0;12,85;
Crosa;01096022;2012;Comune;349;0,128;7,691;9,82;1,53;2,504;0,917;7,35;0,89;0,015;0;12,82;
Crosa;01096022;2013;Comune;334;0,127;6,383;9,76;0;1,135;0,825;6,92;1,068;0,02;0;12,4;
Curino;01096023;2010;Comune;460;0,108;3,36;6,77;0;0;0;3,69;0,28;0;0;23,74;
Curino;01096023;2011;Comune;453;0;7,494;6,86;0;0,26;0;3,14;0,9;0,098;0;21,18;
Curino;01096023;2012;Comune;449;0;9,9;6,8;0;0;0;3,18;0;0,067;0;19,54;
Curino;01096023;2013;Comune;455;0;8,085;7,85;0;0,735;0,11;4,44;0,21;0;0;18;
Donato;01096024;2010;Comune;719;0,222;4,7214;14,768;23,815;21,844;0,271;6,93;2,538;0,127;0;23,58;
Donato;01096024;2011;Comune;719;0,09;7,32;16,56;51,37;1,12;0,12;7,73;0,94;0,006;0;25,28;
Donato;01096024;2012;Comune;711;0,01;6,92;15,49;42,98;0;0;8,19;0,12;0,021;0;26,27;
Donato;01096024;2013;Comune;696;0;5,44;15,49;60,13;0;0,12;8,4;0,11;0;0;26,81;
Dorzano;01096025;2010;Comune;500;0;0,2244;109,18;5,44;1,86;18,329;8,88;1,882;0;3,947;15;
Dorzano;01096025;2011;Comune;508;0,282;0;53,38;0;0;7,19;8,86;2,268;0;4,301;18,28;
Dorzano;01096025;2012;Comune;507;0,365;0,22;14,97;0,341;0,877;5,13;7,56;1,835;0;0,231;15,48;
Dorzano;01096025;2013;Comune;492;0,274;0;11,680000000000001;39,21;0,755;5,336;6,8;1,913;0;0;12,24;
Gaglianico;01096026;2010;Comune;3.931;0,76;73,1304;1646,995;251,497;347,85;59,294;145,009;10,152;0,8140000000000001;21,249;92,19;
Gaglianico;01096026;2011;Comune;3.899;0,3;60,3366;386,819;188,38;106,763;0,6;81,42;12,428;0,7110000000000001;16,577;118,29;
Gaglianico;01096026;2012;Comune;3.894;0,32;55,51;369,39;163,24;12,56;1,32;83,94;8,116;0,8600000000000001;14,099;111,03;
Gaglianico;01096026;2013;Comune;3.867;0,36;51,69;348,59000000000003;158,08;15,02;1,27;83,54;6,285;0,843;15,17;110,57;
Gifflenga;01096027;2010;Comune;135;0;2,376;3,32;0;0;0;2;0,1;0;0;3,49;
Gifflenga;01096027;2011;Comune;130;0,12;3,144;3,08;0;0;0;2,03;0,42;0;0;4,06;
Gifflenga;01096027;2012;Comune;126;0;4,82;2,97;0;0;0;1,41;1,07;0;0;4,8;
Gifflenga;01096027;2013;Comune;126;0;5,02;2,59;0;0;0,17;1,39;0,36;0;0;4,68;
Graglia;01096028;2010;Comune;1.606;0,203;18,6396;57,7;24,287;7,094;0,977;92,731;5,007;0,521;0,982;1433,804;
Graglia;01096028;2011;Comune;1.588;0,16;27,522;56,88;34,3;5,27;0,38;27,11;6,664;0,643;4,036;61,6;
Graglia;01096028;2012;Comune;1.593;0,47;44,06;52,21;37,2;7,01;0,64;24,74;2,41;0,263;3,655;71,9;
Graglia;01096028;2013;Comune;1.596;0,24;32,52;54,01;39,36;3,62;1,39;28,12;2,1289999999999996;0,379;3,56;64,52;
Lessona;01096029;2010;Comune;2.492;0,16;27,174;240,163;215,391;15,821;75,499;63,625;4,108;0,8849999999999999;0;103,55;
Lessona;01096029;2011;Comune;2.491;0,378;27,4998;214,5;222,5;20,11;14,475;55,74;7,756;0,734;0;101,84;
Lessona;01096029;2012;Comune;2.487;0,768;47,023;119,49;190,42;10,36;2,88;47,16;7,223;0,653;0;101,97;
Lessona;01096029;2013;Comune;2.479;0,177;58,56;112,71;217,38;8,11;1,87;49,54;5,286;0,858;0;102,61;
Magnano;01096030;2010;Comune;387;0,744;2,7624;13,92;0;3,86;4,495;6,84;2,7;0,062;0;16,67;
Magnano;01096030;2011;Comune;378;0,141;1,8522;20,328;0;3,233;1,725;8,75;2,354;0,054;0;18,09;
Magnano;01096030;2012;Comune;378;0,522;5,52;20,68;0,09;3,018;4,196;9,7;1,368;0,028999999999999998;0;21,08;
Magnano;01096030;2013;Comune;407;0,091;4,397;18,65;0;0,838;0,416;9,92;2,045;0,031;0;22,08;
Massazza;01096031;2010;Comune;553;0,092;5,1264;52,952;17,56;2,66;0,12;18,876;1,826;0,7740000000000001;0,833;29,14;
Massazza;01096031;2011;Comune;542;0;4,9206;43,91;9,84;0,62;0,417;17,69;1,784;0,048;1,358;24,76;
Massazza;01096031;2012;Comune;549;0;5,72;45,589999999999996;2,96;0,62;0,1;17;1,15;0,09;1,17;25,13;
Massazza;01096031;2013;Comune;550;0,02;11,52;35,12;2,8;0,88;0;13,79;0,69;0,019;1,671;23,07;
Masserano;01096032;2010;Comune;2.264;0,08;18,5202;570,13;26,194;10,851;3,973;50,36;4,804;0,365;11,189;84,7;
Masserano;01096032;2011;Comune;2.202;1,898;19,1544;282,732;38,67;57,295;4,01;64,826;6,87;0,624;10,906;94,493;
Masserano;01096032;2012;Comune;2.188;0,848;44,676;107,08;121,27000000000001;8,938;2,66;48,69;5,418;0,48600000000000004;11,199;102,30000000000001;
Masserano;01096032;2013;Comune;2.181;0,21;41,835;106,94;103,22;6,68;2,1;48,77;4,07;1,267;7,558;100,88;
Mezzana Mortigliengo;01096033;2010;Comune;559;0,865;2,7024;21,285;2,27;6,641;3,415;3,72;2,609;0,198;0;17,374;
Mezzana Mortigliengo;01096033;2011;Comune;561;1,458;9,978;17,695;2,669;16,3;5,71;3,782;4,539;0,445;0;18,098;
Mezzana Mortigliengo;01096033;2012;CONSORZIO SMALTIMENTO RIFIUTI AREA BIELLESE;36.076;20,169;208,81;922,239;678,1899999999999;215,344;68,958;290,72;80,72999999999999;13,215;45,47;766,575;
Mezzana Mortigliengo;01096033;2013;CONSORZIO SMALTIMENTO RIFIUTI AREA BIELLESE;35.316;19,085;309,059;858,489;703,6110000000001;176,632;60,245;284,941;86,458;18,973;51,058;707,133;
Miagliano;01096034;2010;Comune;665;0;0,768;19,55;1,511;4,31;0;8,52;2,007;0,065;0;16,01;
Miagliano;01096034;2011;Comune;638;0;1,476;20,37;1,44;9,397;2,293;9,51;4,138;0,096;0;16,16;
Miagliano;01096034;2012;Comune;632;0;1,46;21,55;0,78;6,295;1,761;10,61;3,344;0,041;0;15,4;
Miagliano;01096034;2013;Comune;642;0,041;8,238;22,13;8,66;3,966;1,544;10,34;2,581;0,093;0;16,6;
Mongrando;01096035;2010;Comune;4.009;4,826;32,3304;259,132;357,788;28,575;16,607;109,567;26,127;0,611;18,587;170,973;
Mongrando;01096035;2011;Comune;3.977;1,1;47,202;258,69;171,69;24,51;4,448;102,118;15,592;1,232;27,733;149,93;
Mongrando;01096035;2012;Comune;3.972;1,4;108,02;176,11;202,93;12,04;2,52;79,39;19,450000000000003;1,135;21,262;133,8;
Mongrando;01096035;2013;Comune;3.955;1,09;98,469;180,98;264,27;17,25;2,29;81,44;12,796999999999999;0,889;23,816;132,93;
Mottalciata;01096037;2010;Comune;1.469;0,63;10,734;58,84;9,072;9,25;0,34;76,42;2,444;0,14400000000000002;2,783;61,41;
Mottalciata;01096037;2011;Comune;1.431;0,28;16,008;54,47;9,37;46,64;0,91;29,96;3,63;0,123;2,71;69,84;
Mottalciata;01096037;2012;Comune;1.443;0,32;17,7;53,69;9,36;5,57;0,55;27,1;3,1;0,395;2,263;68,28;
Mottalciata;01096037;2013;Comune;1.465;0,26;29,32;48,03;10,46;4,9;0,58;27,64;2,493;0,348;2,017;59,36;
Muzzano;01096038;2010;Comune;613;0,099;6,7662;24,75;36,972;2,405;0,462;15,21;1,089;0,112;1,469;17,9;
Muzzano;01096038;2011;Comune;614;0,16;9,09;25,74;36,45;1,22;0,16;13,3;3,087;0,057999999999999996;4,084;26,21;
Muzzano;01096038;2012;Comune;623;0;7,72;24,69;28,98;1,48;0,4;14,74;0,8;0,087;3,828;27,69;
Muzzano;01096038;2013;Comune;617;0,1;6,98;24,48;28,32;0,24;0;13,89;0,485;0,089;3,569;26,78;
Netro;01096039;2010;Comune;995;1,6;1,155;34,25;2,368;6,447;23,002;20,72;5,323;0,053;4,102;39,03;
Netro;01096039;2011;Comune;1.015;1,06;0,996;41,1;3,06;7,66;27,54;18,44;5,962;0,213;4,005;44,71;
Netro;01096039;2012;Comune;1.008;1,52;0,34;42,68;8,16;10,84;0;18,45;5,3999999999999995;0,605;3,802;56,65;
Netro;01096039;2013;Comune;1.031;2,46;14,96;37,41;0;7,9;0;18,49;4,4399999999999995;0,19;3,876;51,65;
Occhieppo Inferiore;01096040;2010;Comune;4.009;1,152;36,0312;280,701;428,11;15,009;1,84;69,38;13,787;0,753;51,51;153,491;
Occhieppo Inferiore;01096040;2011;Comune;3.980;0,38;48,3522;295,15;428,1;12,89;1,06;63,91;16,341;0,9780000000000001;67,96;162,47;
Occhieppo Inferiore;01096040;2012;Comune;3.971;0,13;68,5;287,41999999999996;402,39;12,67;1,75;61,19;9,865;0,71;24,696;155,57;
Occhieppo Inferiore;01096040;2013;Comune;4.002;0,67;61,93;241,14;424,08;11,59;1,58;64,02;7,76;0,6599999999999999;16,71;162,21;
Occhieppo Superiore;01096041;2010;Comune;2.844;8,143;2,223;151,2;463,998;33,316;0;60,69;9,265;0,372;3,489;93,31;
Occhieppo Superiore;01096041;2011;Comune;2.821;6,84;4,548;201,23;429,74;43,18;0;54,25;7,486;0,42;4,481;97,05;
Occhieppo Superiore;01096041;2012;Comune;2.822;6;5,51;121,25;434,47;6,08;0;50,77;7,479;0,518;3,785;103,6;
Occhieppo Superiore;01096041;2013;Comune;2.797;0,02;5,94;114;441,15999999999997;46,08;0,02;45,37;5,0409999999999995;0,377;3,474;100,13;
Pettinengo;01096042;2010;Comune;1.564;0,216;3,681;50,385;100,402;10,882;0,614;21,605;3,216;0,242;5,25;46,151;
Pettinengo;01096042;2011;Comune;1.524;0,512;4,5174;57,906;100,439;10,209;0,476;23,712;3,946;0,639;6,039;55,205;
Pettinengo;01096042;2012;CONSORZIO SMALTIMENTO RIFIUTI AREA BIELLESE;36.076;20,169;208,81;922,239;678,1899999999999;215,344;68,958;290,72;80,72999999999999;13,215;45,47;766,575;
Pettinengo;01096042;2013;CONSORZIO SMALTIMENTO RIFIUTI AREA BIELLESE;35.316;19,085;309,059;858,489;703,6110000000001;176,632;60,245;284,941;86,458;18,973;51,058;707,133;
Piatto;01096043;2010;Comune;559;0,2;8,76;23,178;0,78;1,9;0,06;10,084;1,467;0,015;0;20,107;
Piatto;01096043;2011;Comune;547;0;10,866;27,249;5,27;2,09;0,72;11,021;0,902;0;0;19,977;
Piatto;01096043;2012;Comune;547;0,04;13,68;21,6;1,68;0,48;0,04;10,83;1,8900000000000001;0;0;22,88;
Piatto;01096043;2013;Comune;534;0;15,04;19,95;2,24;1,7;0;10,75;0,23399999999999999;0;0;16,26;
Piedicavallo;01096044;2010;Comune;210;0,04;0;9,65;0;0;1,26;4,29;4,713;0,04;0;10;
Piedicavallo;01096044;2011;Comune;203;0;0;10,19;2,28;0,12;0,28;4,67;1,32;0,035;0;12,67;
Piedicavallo;01096044;2012;Comune;204;0;1,643;10,48;0;0;0;5,23;0,445;0,097;0;16,55;
Piedicavallo;01096044;2013;Comune;198;0;4,96;9,1;0;0;0,72;5,07;0,265;0,07;0;14,31;
Pollone;01096046;2010;Comune;2.192;0,226;22,2672;149,287;178,494;5,997;16,137;34,01;5,783;0,301;1,811;78,734;
Pollone;01096046;2011;Comune;2.153;0,13;20,796;119,76;187,33;13,45;1,15;37,385;6,112;0,443;2,086;78,59;
Pollone;01096046;2012;Comune;2.144;0,34;28,88;87,88;178,14;3,58;0,67;31,52;3,037;0,248;1,565;79,72;
Pollone;01096046;2013;Comune;2.113;0,2;27,468;74,94;194,02;12,23;1,41;37,87;3,7199999999999998;0,367;2,06;80,63;
Ponderano;01096047;2010;Comune;4.008;0,726;42,3906;222,2;304,63300000000004;52,217;2,572;85,36;9,969;1,211;8,987;145,364;
Ponderano;01096047;2011;Comune;3.927;0,38;47,799;177,97;282,25;20,307;0,775;77,95;14,636;0,669;10,873;172,42;
Ponderano;01096047;2012;Comune;3.910;0,16;48,98;166,21;225,57;13,54;0,89;77,31;6,321000000000001;0,7499999999999999;9,551;170,48000000000002;
Ponderano;01096047;2013;Comune;3.891;0,48;54,5;159,31;211,54999999999998;10,3;0,57;69,8;4,934;0,6890000000000001;11,266;157,58;
Portula;01096048;2010;Comune;1.398;1,179;16,1538;44,082;5,13;16,531;5,157;15,815;6,343;0,868;0;56,44;
Portula;01096048;2011;Comune;1.365;1,775;17,7612;43,693;3,796;15,219;5,155;19,253;6,286;0,16199999999999998;0;48,798;
Portula;01096048;2012;Comune;1.371;1,135;20,245;40,803;2,872;12,508;4,497;15,17;4,377000000000001;0,045;0;56,389;
Portula;01096048;2013;Comune;1.327;0,992;31,412;37,85;4,399;18,124;4,826;14,76;3,9520000000000004;0,25;0;59,760999999999996;
Pralungo;01096049;2010;Comune;2.684;0,24;27,714;65,11;87,907;6;1,4;19,58;4,487;0,281;4,975;52,24;
Pralungo;01096049;2011;Comune;2.639;0,5;30,324;62,68;93,36;11,84;0,8;20,57;7,545;0,4;6,549;61,17;
Pralungo;01096049;2012;Comune;2.611;0,08;64,86;64,63;76,96;16,32;1,5;23,5;5,5;0,29;6,322;61,06999999999999;
Pralungo;01096049;2013;Comune;2.532;0,1;35,485;59,93;75,04;8,24;1,54;24,45;2,02;0,865;6,898;57,8;
Pray;01096050;2010;Comune;2.360;2,178;37,8252;158,405;87,91;28,209;24,282;40,76;13,104;1,051;6,178;86,025;
Pray;01096050;2011;Comune;2.307;1,631;41,4894;156,116;27,415;26,174;22,38;42,04;14,465;0,777;6,954;78,474;
Pray;01096050;2012;Comune;2.298;2,121;57,233;109,092;22,2;23,371;4,395;38,48;8,944;1,089;6,965;82,44300000000001;
Pray;01096050;2013;Comune;2.278;1,685;77,983;96,893;26,835;40,351;5,315;39,54;8,312;1,105;6,763;88,073;
Quaregna;01096051;2010;Comune;1.399;0,19;22,524;375,98;110,827;15,938;60,295;65,44;4,483;1,131;4,288;57,67;
Quaregna;01096051;2011;Comune;1.390;0,61;25,779;390,468;109,74;14,27;25,25;44,69;5,282;1,251;4,608;56,35;
Quaregna;01096051;2012;Comune;1.384;0,15;20,093;99,69;100,25999999999999;4,46;1;30,64;3,39;1,717;4,79;60,7;
Quaregna;01096051;2013;Comune;1.424;0,15;29,13;95,29;105,13;6,98;1,22;30,6;1,9170000000000003;1,374;6,358;58,54;
Quittengo;01096052;2010;Comune;220;0,06;1,044;6,8;0;0;0;4,02;1,231;0,044;0;10;
Quittengo;01096052;2011;Comune;214;0;1,266;6,91;0;0;0,24;3,27;0,838;0,11199999999999999;0;13,43;
Quittengo;01096052;2012;Comune;213;0;1,04;7,74;0;2,46;0;3,62;1,7770000000000001;0,005;0;13,36;
Quittengo;01096052;2013;Comune;217;0;6,52;6,11;0;0,22;0;3,79;0,37;0,082;0;12,64;
Ronco Biellese;01096053;2010;Comune;1.509;0,14;20,508;63,05;41,064;5,01;2;26,33;3,941;0,41700000000000004;0;57,9;
Ronco Biellese;01096053;2011;Comune;1.514;0,4;18,672;64,75;46,12;4,52;6,28;36,935;4,14;0,383;0,415;58,6;
Ronco Biellese;01096053;2012;Comune;1.521;0;31,01;57,42;35,980000000000004;4,42;0,12;23,79;3,0100000000000002;0,402;0,244;56,99;
Ronco Biellese;01096053;2013;Comune;1.527;0,22;30,49;53,260000000000005;42,96;4,22;0,12;25,67;2,239;0,481;0,396;56,47;
Roppolo;01096054;2010;Comune;934;0,806;8,8362;43,672;29,313000000000002;21,162;23,882;15,76;9,375;0,20600000000000002;0;43,4;
Roppolo;01096054;2011;Comune;921;1,806;8,2158;42,556;29,855999999999998;22,422;20,087;13,27;9,262;0,09899999999999999;0;42,87;
Roppolo;01096054;2012;Comune;919;0;0;40;0;0;0;12,74;0,18;0,11;0;39,29;
Roppolo;01096054;2013;Comune;896;0;0;38,48;7,48;0;0;16,5;0,06;0,106;0;38,14;
Rosazza;01096055;2010;Comune;95;0;0,984;6,4;0;1,06;1,32;2,86;1,315;0,012;0;10;
Rosazza;01096055;2011;Comune;87;0;0;7,12;0,4;0;0;3,28;0,7;0,056999999999999995;0;9,6;
Rosazza;01096055;2012;Comune;88;0;0,96;7,27;0,06;0;0;3,37;0;0,005;0;11,48;
Rosazza;01096055;2013;Comune;92;0;3,16;5,73;0;0;0;3,3;1,26;0,064;0;11,21;
Sagliano Micca;01096056;2010;Comune;1.679;0,12;2,1606;35,133;1,42;9,374;0;14,15;5,985;0,16099999999999998;1,955;25,64;
Sagliano Micca;01096056;2011;Comune;1.654;0,04;2,454;36,5;9,18;13,325;6,05;14,86;10,129;0,309;2,426;38,59;
Sagliano Micca;01096056;2012;Comune;1.664;0,06;8,02;41,23;0,48;26,74;4,481;19,62;9,149000000000001;0,223;3,027;29,29;
Sagliano Micca;01096056;2013;Comune;1.641;0,105;12,972;39,8;1,98;11,462;0;18,91;5,685;0,483;2,565;28,45;
Sala Biellese;01096057;2010;Comune;627;0,767;2,9718;21,52;0,327;2,586;3,877;11,303;4,574;0,17099999999999999;0;28,06;
Sala Biellese;01096057;2011;Comune;627;0,8;5,406;21,08;0,3;1,15;1,22;8,95;4,933;0,06;0;25,4;
Sala Biellese;01096057;2012;Comune;627;0,365;3,64;23,39;1,3;1,41;0,1;9,62;2,83;0,309;0;25,930000000000003;
Sala Biellese;01096057;2013;Comune;621;0;20,21;20,89;0,2;0,55;0,18;10,34;2,01;0,21;0;27,76;
Salussola;01096058;2010;Comune;2.085;1,088;19,7802;282,345;24,12;7,78;5,532;33,52;8,392;0,257;3,537;61,899;
Salussola;01096058;2011;Comune;2.015;0,462;18,4656;88,452;34,04;125;4,635;32,067;6,972;0,308;3,605;69;
Salussola;01096058;2012;Comune;2.010;1,26;25,897;65,36;17,2;8,118;3,74;32,01;4,4;2,9589999999999996;4,267;63,73;
Salussola;01096058;2013;Comune;1.996;0,274;26,169;66,75;16,94;6,969;2,973;30,14;4,930000000000001;0,403;4,074;64,13;
Sandigliano;01096059;2010;Comune;2.731;0,592;62,6262;1367,92;209,311;12,825;41,073;196,387;12,581;0,837;4,455;104,172;
Sandigliano;01096059;2011;Comune;2.762;1,487;36,8334;264,938;167,458;93,481;22,562;87,392;9,841;1,073;6,224;108,623;
